<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
Not applicable,25,11,13,4,2,4,4,3,8,2,2,2,1,3,3,2,1,3,2,0,2,2,2,1,2,1,1,3,0,14,11,17,3,2,2,1,2,23
,0.01,0.01,0.01,0.02,0,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.01,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01
,,,,,,,,,, k,,,,, k,,,,,,,,,,,,, h,,,,,,,,,,
NETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Significant/ Some impact,1469,686,778,154,285,267,250,227,287,46,117,163,61,121,69,129,113,125,187,124,215,111,101,69,76,85,57,56,53,978,485,1104,154,108,79,24,123,1346
,0.68,0.66,0.7,0.69,0.78,0.76,0.7,0.66,0.57,0.76,0.65,0.69,0.71,0.69,0.69,0.68,0.72,0.67,0.64,0.61,0.77,0.68,0.71,0.74,0.64,0.72,0.66,0.72,0.63,0.69,0.68,0.66,0.8,0.75,0.74,0.79,0.83,0.67
,,, a, f, adef, ef, f, f,, k,,,,,,, k,,,, bcgijk,,,,,,,,,,,, a, a,,, b,
95% lower case or +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
