<< Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
18-24,223,75,148,223,0,0,0,0,0,6,10,30,11,17,8,35,17,13,19,20,37,32,21,7,9,8,9,7,5,151,70,109,41,35,31,7,37,187
,0.1,0.07,0.13,1,0,0,0,0,0,0.11,0.06,0.13,0.12,0.1,0.08,0.18,0.11,0.07,0.06,0.1,0.13,0.2,0.15,0.08,0.08,0.07,0.1,0.1,0.06,0.11,0.1,0.06,0.21,0.24,0.29,0.25,0.25,0.09
,,, a, bcdef,,,,,,,, bij,,,, befhijk,,,,, bij, cdegh, eh,,,,,,,,,, a, a, a, a, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,365,171,194,0,365,0,0,0,0,9,41,49,10,28,19,29,28,17,27,14,95,28,30,20,10,25,18,18,25,283,82,229,57,41,29,8,44,321
,0.17,0.17,0.18,0,1,0,0,0,0,0.14,0.23,0.21,0.11,0.16,0.19,0.15,0.18,0.09,0.09,0.07,0.34,0.17,0.21,0.22,0.08,0.21,0.21,0.23,0.3,0.2,0.11,0.14,0.3,0.28,0.28,0.27,0.29,0.16
,,,,, acdef,,,,,, dijk, ijk,, ijk, ijk, jk, ijk,,,, abcdefghijk, d, d, d,, d, d, d, ad, b,,, a, a, a, a, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,352,162,190,0,0,352,0,0,0,19,51,43,7,22,18,37,27,20,30,20,58,34,25,22,13,16,18,15,23,253,99,252,41,31,21,7,33,319
,0.16,0.16,0.17,0,0,1,0,0,0,0.32,0.28,0.18,0.09,0.12,0.18,0.2,0.17,0.11,0.1,0.1,0.21,0.21,0.18,0.23,0.11,0.14,0.21,0.19,0.28,0.18,0.14,0.15,0.21,0.22,0.2,0.21,0.22,0.16
,,,,,, abdef,,,, cdefhijk, cdefghijkl, dijk,,, jk, dijk, jk,,,, deijk, d,, d,,, d,, de, b,,, a, a,,, b,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-54,356,187,169,0,0,0,356,0,0,13,23,39,13,28,14,25,24,49,63,39,27,22,20,13,37,20,19,11,11,230,124,285,26,22,17,6,19,338
,0.17,0.18,0.15,0,0,0,1,0,0,0.22,0.13,0.16,0.15,0.16,0.14,0.13,0.15,0.26,0.22,0.19,0.1,0.14,0.14,0.14,0.31,0.17,0.22,0.15,0.13,0.16,0.17,0.17,0.14,0.15,0.16,0.18,0.13,0.17
,,,,,,, abcef,,, l,, l,,,,,, bcdefghl, bgl, l,,,,, abcegh,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-64,344,180,163,0,0,0,0,344,0,7,28,29,17,27,20,24,28,43,57,49,15,17,20,19,28,17,8,15,13,212,130,315,15,8,3,3,11,333
,0.16,0.17,0.15,0,0,0,0,1,0,0.11,0.16,0.12,0.2,0.15,0.2,0.13,0.18,0.23,0.19,0.24,0.05,0.1,0.14,0.21,0.24,0.15,0.1,0.19,0.15,0.15,0.18,0.19,0.08,0.06,0.03,0.09,0.07,0.17
,,,,,,,, abcdf,,, l, l, l, l, cl, l, l, acgl, cl, abcegl,,,, af, abf,,, af,,, a, bcd,,,,,, a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65+,507,262,242,0,0,0,0,0,507,6,27,46,28,55,21,39,33,45,99,61,46,29,26,11,22,32,14,11,6,297,210,483,12,6,5,0,5,502
,0.24,0.25,0.22,0,0,0,0,0,1,0.1,0.15,0.19,0.33,0.31,0.21,0.21,0.21,0.24,0.34,0.3,0.17,0.18,0.18,0.12,0.19,0.27,0.16,0.14,0.08,0.21,0.29,0.29,0.06,0.04,0.04,0,0.03,0.25
,,,,,,,,, abcde,,,, abcghl, abcghl,,,, abl, abcfghil, abcl,, h, h,, h, cgh,,,,, a, bcde,,,,,, a
95% lower case or +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
