Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,"Table 17 Q5_2. Your personal relationships: What impact, if any, did your experience of being defrauded have on the following:",,BASE: All respondents
,,,,,,
,,,,"Table 18 Q5_3. Your ability to work: What impact, if any, did your experience of being defrauded have on the following:",,BASE: All respondents
,,,,,,
,,,,"Table 19 Q5_4. Your mood: What impact, if any, did your experience of being defrauded have on the following:",,BASE: All respondents
,,,,,,
,,,,"Table 20 Q5. What impact, if any, did your experience of being defrauded have on the following: SUMMARY",,BASE: All respondents
,,,,,,
,,,,"Table 21 Q6. Roughly, how long do you estimate that your sleep was impacted for, after you lost money from fraud? If you can't remember, please give your best guess.",,BASE: Those whose sleep had a significant/ impact (at Q5a)
,,,,,,
,,,,"Table 22 Q7. Which of the following reasons, if any, do you think explain why being defrauded impacted your sleep?",,BASE: Those whose sleep had a significant/ impact (at Q5a)
,,,,,,
,,,,"Table 23 Q8. Since losing money, have you experienced any changes in your physical health that you feel could be a result of being a victim of fraud? Examples may include increased blood pressure or weight gain as a result of prolonged stress caused by the incident.",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,Table 24 Q9. What changes have you experienced in your physical health since being a victim of fraud?,,BASE: Those who experienced changes in physical health (at Q8)ictim of fraud
,,,,,,
,,,,"Table 25 Q10_1. I have struggled with alcohol misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 26 Q10_2. I have struggled with drug/illegal substances misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 27 Q10_3. I have struggled with self-care since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 28 Q10_4. I trust people less since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 29 Q10_5. I trust my gut instinct more since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 30 Q10_6. I am warier of strangers since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 31 Q10_7. I feel more confident in my ability to spot fraud since being a victim: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 32 Q10_8. Being a victim of fraud has made me more mindful of how I spend my money: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 33 Q10. Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements? SUMMARY",,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,Table 34 Q11. To what extent do you agree or disagree with the following statement: 'Being a victim of fraud has had a negative impact on my mental health'?,,BASE: Those who lost money as a result (at Q1b)
,,,,,,
,,,,"Table 35 Q12. In what way(s) has being a victim of fraud impacted your mental health? If fraudsters have stolen money from you on more than one occasion, please consider how, collectively, being defrauded has had a negative impact on your mental health.",,BASE: All respondents
,,,,,,
,,,,Table 36 Q13. Have you ever sought professional help about the way(s) fraud has impacted your mental health?,,BASE: All respondents
,,,,,,
,,,,Table 37 Q14. Where did you seek support for your mental health after being defrauded?,,BASE: All respondents
,,,,,,
,,,,Table 38 BK,,BASE: All respondents
