Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,0.07,0.05,0.08,0.1,0.1,0.1,0.06,0.06,0.02,0.1,0.08,0.04,0.03,0.04,0.06,0.05,0.05,0.09,0.1,0.1,0.05,0.06,0.05,0.12,0.07,0.09,0.07,0.05,0.06,0.05,0.08
,,,,a,efi,fi,efi,f,f,,defi,fi,,,,,,,,b,b,,,,bcdeijkm,,cd,,,,,a
,Some impact,584,286,293,91,139,111,105,64,70,230,216,134,18,47,71,26,44,28,60,46,34,69,64,77,491,178,148,146,107,263,295
,,0.25,0.26,0.25,0.36,0.35,0.31,0.26,0.19,0.13,0.36,0.28,0.16,0.26,0.24,0.28,0.28,0.23,0.25,0.3,0.28,0.17,0.22,0.3,0.26,0.26,0.29,0.23,0.32,0.19,0.24,0.27
,,,,,defhi,defhi,efi,efi,f,,defhi,efi,,,,i,i,,,ij,i,,,i,i,i,bd,,bd,,,
,Not much of an impact,582,271,311,80,98,91,125,85,104,177,217,188,17,52,55,27,35,23,51,44,46,93,51,88,490,161,183,134,95,273,291
,,0.25,0.24,0.27,0.32,0.25,0.25,0.31,0.25,0.2,0.27,0.28,0.22,0.25,0.27,0.21,0.29,0.19,0.2,0.26,0.27,0.23,0.3,0.24,0.29,0.25,0.26,0.29,0.29,0.17,0.25,0.26
,,,,,fi,,,fi,f,,fi,fi,,,,,e,,,,,,cef,,ce,e,d,d,d,,,
,No impact,853,458,395,42,97,102,129,150,333,139,231,483,31,85,97,34,69,46,62,50,99,119,82,79,692,204,238,135,276,447,394
,,0.37,0.41,0.34,0.16,0.25,0.28,0.32,0.45,0.63,0.22,0.3,0.56,0.45,0.44,0.38,0.36,0.37,0.41,0.31,0.31,0.5,0.38,0.39,0.26,0.36,0.33,0.37,0.29,0.5,0.41,0.35
,,,b,,,a,ag,abg,abcdgh,abcdeghi,,ag,abcdegh,l,ghlm,l,,l,l,,,cdeghjklm,l,l,,l,,c,,abc,b,
,Don't know,121,46,75,15,22,23,20,18,7,36,43,25,1,3,20,2,29,5,7,6,8,13,6,20,112,23,26,23,45,54,43
,,0.05,0.04,0.06,0.06,0.06,0.06,0.05,0.05,0.01,0.06,0.06,0.03,0.02,0.02,0.08,0.02,0.16,0.04,0.03,0.04,0.04,0.04,0.03,0.06,0.06,0.04,0.04,0.05,0.08,0.05,0.04
,,,,a,fi,fi,fi,f,fi,,fi,fi,,,,bdgk,,abcdfghijklm,,,,,,,bd,b,,,,ab,,
,NET: Significant or some impact,744,342,391,116,177,147,129,84,82,293,275,166,20,54,85,31,54,38,79,63,44,86,75,115,632,234,195,171,139,317,384
,,0.32,0.31,0.33,0.46,0.45,0.4,0.32,0.25,0.16,0.45,0.36,0.19,0.29,0.28,0.33,0.33,0.29,0.34,0.4,0.39,0.22,0.28,0.35,0.38,0.33,0.38,0.3,0.37,0.25,0.29,0.35
,,,,,defhi,defhi,defi,efi,fi,,defhi,efi,,,,i,i,,i,beijm,beij,,,i,beij,i,bd,d,d,,,a
,NET: Not much/no impact,1435,729,706,121,195,194,254,234,437,316,448,671,48,136,152,61,104,69,113,94,146,213,133,167,1182,365,421,269,371,719,684
,,0.62,0.65,0.6,0.48,0.5,0.53,0.63,0.7,0.83,0.49,0.58,0.78,0.69,0.7,0.59,0.65,0.56,0.62,0.57,0.58,0.73,0.68,0.62,0.55,0.61,0.59,0.66,0.58,0.67,0.66,0.62
,,,b,,,,,abcg,abcdgh,abcdeghi,,abg,abcdegh,,ceghlm,,,,,,,cefghklm,ceghlm,,,,,ac,,ac,b,
,"Columns Tested: a,b - a,b,c,d,e,f,g,h,i - a,b,c,d,e,f,g,h,i,j,k,l,m - a,b,c,d - a,b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
