Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,Helping the local economy,6241,451,418,320,267,199,184,164,160,141,141,101,97,116,101,108,107,108,78,451,1188,1654,3259
,,,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.07,0.19,0.26,0.52
,Helping people to live healthily and well,6241,417,383,319,263,250,187,170,179,135,129,156,121,97,114,97,90,98,56,417,1119,1632,3261
,,,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.07,0.18,0.26,0.52
,Providing services for mental health,6241,354,374,342,301,266,191,173,159,129,145,106,108,120,116,104,113,80,64,354,1071,1638,3244
,,,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.06,0.17,0.26,0.52
,Providing opportunities for people to have a say in what happens locally,6241,286,319,244,185,174,170,170,156,147,142,143,144,121,136,148,122,113,91,286,849,1208,3010
,,,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.05,0.14,0.19,0.48
,Bringing people together from across the community,6241,310,294,238,214,204,161,156,166,155,139,143,137,134,123,123,142,124,77,310,843,1261,3040
,,,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.05,0.14,0.2,0.49
,Providing support services for homelessness,6241,222,294,211,170,183,189,162,168,161,137,141,124,135,150,151,161,119,90,222,727,1080,2969
,,,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.04,0.12,0.17,0.48
,Providing services to support better ageing,6241,201,262,242,181,190,186,167,147,168,141,130,139,143,147,130,110,114,94,201,705,1075,2893
,,,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.11,0.17,0.46
,Support for community projects and charities,6241,201,242,230,177,215,164,171,164,148,145,166,160,144,128,128,112,118,81,201,673,1066,2894
,,,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.11,0.17,0.46
,Supporting people to find new employment opportunities,6241,185,257,211,173,166,191,153,155,151,149,160,143,159,136,117,143,128,89,185,653,992,2867
,,,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.1,0.16,0.46
,Connecting people together on shared interests,6241,192,203,249,174,169,144,152,135,141,125,143,128,175,148,142,153,136,143,192,644,987,2852
,,,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.1,0.16,0.46
,Providing opportunities for people to learn/develop new skills,6241,169,221,189,187,167,164,174,170,141,169,160,161,159,149,137,132,109,75,169,580,934,2833
,,,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.09,0.15,0.45
,Providing support services for people affected by domestic abuse,6241,137,183,218,177,197,170,149,139,164,149,140,171,149,143,147,155,121,67,137,537,911,2774
,,,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.09,0.15,0.44
,Providing support services for substance abuse,6241,105,129,158,127,128,111,131,126,116,140,153,168,120,157,185,182,220,170,105,393,648,2626
,,,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.03,0.02,0.06,0.1,0.42
,"Integrating people, such as refugees, into the community",6241,104,123,122,117,112,96,118,97,109,107,101,118,125,152,155,164,208,447,104,350,579,2577
,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.07,0.02,0.06,0.09,0.41
,Other,6241,18,5,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,18,23,24,28
,,,*%,*%,*%,0,*%,0,0,0,0,0,0,*%,*%,0,0,*%,0,*%,*%,*%,*%,*%
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,
