Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,0.06,0.08,0.06,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,*%,0.01,*%,0.01,*%,*%,*%,0,0.02,0.05,0.49,0.21,0.44
,Drugs/alcohol,1032,62,66.0,58,39.0,28.0,23.0,26,17.0,12,8,4,4,5,14,7,7,1,4,6,4,6,5,1,17,54,554,185,407
,,,0.06,0.06,0.06,0.04,0.03,0.02,0.02,0.02,0.01,0.01,*%,*%,*%,0.01,0.01,0.01,*%,*%,0.01,*%,0.01,0.01,*%,0.02,0.05,0.54,0.18,0.39
,Friendships groups,1032,47,56.0,50,32.0,35.0,21.0,19,23.0,14,3,9,8,4,12,7,8,7,6,4,6,8,2,2,17,54,578,153,383
,,,0.05,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.01,*%,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,*%,*%,0.02,0.05,0.56,0.15,0.37
,Accessing inappropriate content online,1032,44,41.0,38,23.0,27.0,18.0,22,11.0,14,7,16,10,10,6,7,9,6,4,5,6,0,5,4,17,54,627,123,333
,,,0.04,0.04,0.04,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0,0.01,*%,0.02,0.05,0.61,0.12,0.32
,Educational attainment/exams,1032,53,42.0,25,30.0,31.0,19.0,22,9.0,16,11,13,11,6,6,7,5,9,4,3,5,7,4,10,17,54,612,120,349
,,,0.05,0.04,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,*%,*%,*%,0.01,*%,0.01,0.02,0.05,0.59,0.12,0.34
,Diet or eating habits,1032,35,46.0,34,24.0,26.0,20.0,12,11.0,20,8,13,6,4,4,3,8,10,11,5,8,7,4,5,17,54,635,116,326
,,,0.03,0.05,0.03,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,*%,*%,*%,0.01,0.01,0.01,*%,0.01,0.01,*%,*%,0.02,0.05,0.62,0.11,0.32
,"Global issues such as climate change, war or terrorism",1032,46,34.0,30,23.0,17.0,14.0,12,12.0,12,4,4,6,11,12,7,9,8,7,6,12,5,8,10,17,54,651,110,310
,,,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,*%,*%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.02,0.05,0.63,0.11,0.3
,Sexual/romantic relationships,1032,28,28.0,47,27.0,23.0,28.0,19,10.0,8,15,9,9,12,4,11,4,10,7,4,3,3,4,3,17,54,646,103,315
,,,0.03,0.03,0.05,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,*%,0.01,0.01,*%,*%,*%,*%,*%,0.02,0.05,0.63,0.1,0.31
,Violence in the community,1032,38,30.0,35,22.0,13.0,26.0,17,12.0,6,12,14,8,10,10,9,6,4,10,8,9,3,4,6,17,54,649,103,312
,,,0.04,0.03,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,*%,*%,0.01,0.02,0.05,0.63,0.1,0.3
,Inappropriate contact from adults online,1032,39,31.0,31,31.0,27.0,20.0,19,12.0,14,10,6,6,4,4,6,4,7,7,4,5,6,3,7,17,54,656,101,305
,,,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,*%,*%,0.01,*%,0.01,0.01,*%,*%,0.01,*%,0.01,0.02,0.05,0.64,0.1,0.3
,Sexual harassment from peers,1032,25,27.0,34,27.0,15.0,16.0,24,12.0,9,12,8,8,7,16,4,8,5,5,5,3,5,8,3,17,54,675,85,286
,,,0.02,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,*%,0.01,*%,0.01,0.01,*%,0.01,0.01,*%,0.02,0.05,0.65,0.08,0.28
,Stranger danger,1032,36,28.0,19,20.0,24.0,11.0,7,15.0,11,14,12,9,7,6,7,8,11,6,4,7,9,2,5,17,54,682,84,279
,,,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,*%,*%,0.02,0.05,0.66,0.08,0.27
,Sexual harassment from adults,1032,23,29.0,30,22.0,18.0,12.0,14,17.0,12,14,8,9,10,4,9,6,7,8,6,2,8,2,4,17,54,687,82,274
,,,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,*%,0.01,*%,*%,0.02,0.05,0.67,0.08,0.27
,Sexual abuse,1032,25,31.0,22,6.0,24.0,26.0,11,9.0,15,12,4,8,7,8,12,10,4,4,3,3,9,7,2,17,54,698,78,263
,,,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,*%,*%,*%,*%,0.01,0.01,*%,0.02,0.05,0.68,0.08,0.25
,Involvement in gangs,1032,28,27.0,22,18.0,13.0,14.0,20,12.0,9,12,12,6,6,10,7,2,6,5,8,10,10,5,2,17,54,698,77,263
,,,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,*%,0.01,0.01,0.01,*%,*%,0.02,0.05,0.68,0.07,0.26
,Learning development,1032,21,24.0,26,18.0,11.0,11.0,15,16.0,5,12,10,9,5,8,10,3,9,11,8,7,8,11,5,17,54,698,70,262
,,,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,*%,0.01,0.01,0.01,*%,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.02,0.05,0.68,0.07,0.25
,Sexual harassment from adults,1032,21,26.0,22,29.0,18.0,16.0,8,9.0,6,10,7,9,11,9,8,15,10,8,2,4,4,3,3,17,54,703,69,258
,,,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,*%,*%,*%,*%,0.02,0.05,0.68,0.07,0.25
,Sexism/misogyny,1032,22,12.0,22,15.0,13.0,9.0,4,7.0,10,11,12,4,7,10,6,11,6,8,6,6,6,10,7,17,54,736,56,225
,,,0.02,0.01,0.02,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.71,0.05,0.22
,Racism,1032,27,11.0,11,17.0,12.0,9.0,10,8.0,11,5,6,9,12,0,7,10,6,4,11,9,9,15,8,17,54,734,49,226
,,,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,0,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.02,0.01,0.02,0.05,0.71,0.05,0.22
,Homophobia/transphobia,1032,10,18.0,11,12.0,6.0,6.0,7,7.0,7,3,8,11,9,4,8,8,8,8,14,9,9,11,9,17,54,756,39,205
,,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,*%,0.01,0.01,0.01,*%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.73,0.04,0.2
,Other,1032,0,0.0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,54,960,1,1
,,,0,0.0,*%,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.93,*%,*%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
