Unnamed: 0,<< Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,0.4,0.42,0.65,0.31,0.4,0.4,0.35,0.38,0.36,0.14,0.53,0.29,0.48,0.43,0.42,0.39,0.14,0.34,0.54,0.52,0.51,0.3,0.26,0.53,0.41,0.56,0.15,0.03,0.21,0.11,0.27,0.46,0.37,0.48,0.37
,,,cfhik,acdefghijklmno,i,cfik,cfik,ik,cik,cik,,acdefghiklmno,i,acdefghikmno,cfghiko,cfhik,cik,,afg,abefgi,abfgi,abfgi,ag,a,abfgi,abfg,bcde,ce,,bce,c,,ace,a,abce,a
,Working part time - working up to 29 hours per week,2458,148,83,388,194,179,168,186,215,101,92,198,97,178,103,130,315,640,508,464,296,236,955,971,532,2189,106,24,79,60,533,1691,457,1234,217
,,0.16,0.15,0.08,0.36,0.17,0.17,0.16,0.17,0.21,0.1,0.09,0.2,0.08,0.17,0.1,0.12,0.12,0.19,0.17,0.17,0.14,0.13,0.16,0.17,0.13,0.23,0.06,0.02,0.05,0.04,0.14,0.17,0.2,0.17,0.11
,,,bijln,,abdefghijklmno,bijlno,bijlno,bijlno,bijlno,abdefgijlmno,,,abijlno,,bijlno,,bjl,,acefghi,aefi,aefi,a,,afi,aefi,,bcde,ce,,c,c,e,ae,abde,ae,
,Not working but seeking work or temporarily unemployed or sick,1091,71,9,58,67,85,120,59,94,134,35,93,38,31,124,74,238,303,190,205,96,58,541,395,154,356,670,23,10,31,384,547,161,386,137
,,0.07,0.07,0.01,0.05,0.06,0.08,0.12,0.05,0.09,0.13,0.04,0.09,0.03,0.03,0.12,0.07,0.09,0.09,0.06,0.08,0.05,0.03,0.09,0.07,0.04,0.04,0.39,0.02,0.01,0.02,0.1,0.06,0.07,0.05,0.07
,,,bjlm,,bjlm,bjlm,bcgjlm,abcdegjlmo,bjlm,bcdgjlm,abcdeghjklmo,b,bcdgjlm,b,b,abcdeghjklmo,bjlm,cdefhi,cefhi,efi,efi,f,,cdefhi,efi,,cde,acde,d,,d,bcde,,bd,,bd
,Not working and not seeking work,465,19,5,26,20,41,29,30,31,33,39,41,28,45,22,58,117,92,82,78,65,32,208,160,97,186,225,27,10,17,161,221,72,149,74
,,0.03,0.02,*%,0.02,0.02,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.02,0.04,0.02,0.06,0.05,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.13,0.03,0.01,0.01,0.04,0.02,0.03,0.02,0.04
,,,b,,b,b,abdln,b,b,b,bd,abdn,abcdln,b,abcdln,b,abcdfghiln,bcdefghi,f,f,f,f,,bcfhi,f,,de,acde,de,,,bcd,,bd,,bd
,In education,2545,134,188,167,195,161,280,154,251,296,54,188,165,145,93,75,1416,854,153,48,26,48,2270,201,74,1261,236,939,15,94,1484,946,299,647,78
,,0.16,0.13,0.18,0.16,0.18,0.15,0.27,0.14,0.25,0.29,0.05,0.19,0.14,0.14,0.09,0.07,0.55,0.25,0.05,0.02,0.01,0.03,0.38,0.03,0.02,0.13,0.14,0.87,0.01,0.06,0.38,0.1,0.13,0.09,0.04
,,,jno,agjlmno,jno,agjlmno,jno,abcdegjklmno,jno,abcdegjklmno,abcdeghjklmno,,aegjlmno,jno,jno,j,,bcdefghi,cdefhi,defhi,,,e,bcdefhi,dei,,de,de,abde,,d,bcde,de,bde,e,
,Retired,1180,107,53,7,42,23,10,60,10,9,196,9,164,139,150,201,3,7,12,58,295,804,10,70,1099,33,42,5,1083,16,111,545,91,455,505
,,0.08,0.11,0.05,0.01,0.04,0.02,0.01,0.05,0.01,0.01,0.19,0.01,0.14,0.13,0.15,0.19,*%,*%,*%,0.02,0.14,0.43,*%,0.01,0.28,*%,0.02,0.01,0.68,0.01,0.03,0.06,0.04,0.06,0.26
,,,bcdefghik,cefhik,,cefhik,cfhik,,cefhik,,,abcdefghiklmn,,abcdefghik,bcdefghik,abcdefghik,abcdefghiklmn,,,ag,abcgh,abcdgh,abcdeghi,,abcg,abcdegh,,ace,,abce,a,,ac,a,ac,abcd
,House-wife / house-husband,1561,93,21,82,130,147,35,183,28,259,46,188,112,58,87,92,105,314,402,403,223,114,419,806,337,169,175,21,43,1153,95,1254,330,924,182
,,0.1,0.09,0.02,0.08,0.12,0.14,0.03,0.16,0.03,0.26,0.05,0.19,0.1,0.05,0.09,0.09,0.04,0.09,0.13,0.15,0.11,0.06,0.07,0.14,0.09,0.02,0.1,0.02,0.03,0.71,0.02,0.13,0.14,0.12,0.09
,,,bfhjm,,bfhjm,bcfhjmno,abcfhjlmno,,abcdfhjlmno,,abcdefghjklmno,bh,abcdefhjlmno,bfhjm,bfh,bfhjm,bfhjm,,afg,abefgi,abefgi,afgi,a,a,abefgi,afg,,acd,,a,abcd,,ae,ade,ae,a
,Full time carer,188,13,4,4,19,4,22,16,22,33,13,4,2,13,11,9,27,41,43,39,18,19,69,82,37,76,12,8,12,80,51,102,32,69,24
,,0.01,0.01,*%,*%,0.02,*%,0.02,0.01,0.02,0.03,0.01,*%,*%,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01
,,,bcekl,,,bcekl,,bceklo,bcekl,bceklo,abcdegjklmno,bcekl,,,bekl,l,l,,,,,,,,i,,,,,,abcd,,,,,
,"Columns Tested: a,b,c,d,e,f,g,h,i,j,k,l,m,n,o - a,b,c,d,e,f,g,h,i - a,b,c,d,e - a,b,c,d,e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by Savanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
